,Town,Phone number,Fax,Email,Website,Address,Daira,Wilaya
699,Ain arnat,036 73 17 83/036 73 12 61,036 73 17 83/036 73 12 61,apcainarnat@gmail.com,,"
                                    Avenue 1°novembre 1954                                
            ",                    ain arnat                                               ,                    setif                                            
700,Amoucha,036 71 61 20,036 71 61 71,apcamoucha@gmail.com,,"
                                    Rue  ALN                                
            ",                    amoucha                                               ,                    setif                                            
701,Ain oulmene,036 56 36 86,036 56 32 32/036 56 34 34/036 72 98 06,apc.ainoulmene@gmail.com,,"
                                    Rue kanouni athmane                                
            ",                    ain oulmene                                               ,                    setif                                            
702,Beidha bordj,036 70 78 59/036 70 78 61,036 70 88 75/036 70 78 76/036 70 78 77,apc.beidabordj@gmail.com,,"
                                    Rue 1°novembre 1954                                
            ",                    ain azel                                               ,                    setif                                            
703,Bouandas,036 49 01 43,036 49 01 39,apcbouandas1930@gmail.com,,"
                                    Bouandas centre                                
            ",                    bouandas                                               ,                    setif                                            
704,Bazer-sakra,036 46 61 94,036 46 61 97,apcbazersakra@gmail.com,,"
                                    Mellah Amouchi                                
            ",                    el eulma                                               ,                    setif                                            
705,Hamam soukhna,036 77 82 35,036 77 81 60,apc.hs1932@gmail.com,,"
                                    Hammam sokhna centre                                
            ",                    hammam sokhna                                               ,                    setif                                            
706,Mezloug,036 82 41 45/036 82 41 44,036 82 41 43,commune.elouricia@gmail.com,,"
                                    Rue larbi ben m’hidi                                
            ",                    ain arnat                                               ,                    setif                                            
707,Bir haddada,036 55 22 68,036 55 22 72,communebirhaddada@gmail.com,,"
                                    Commune bir haddada                                
            ",                    ain azel                                               ,                    setif                                            
708,Serdj-el-ghoul,036 90 91 01/036 90 91 35,036 90 91 03/036 90 91 35,apcsrg@gmail.com,,"
                                    Bida                                
            ",                    babor                                               ,                    setif                                            
709,Harbil,036 79 21 57,036 79 21 09,apcharbil@yahoo.fr,,"
                                    Centre de tittest                                
            ",                    guenzet                                               ,                    setif                                            
710,El ouricia,036 94 61 76/036 94 03 47,036 94 61 76,commune.elouricia@gmail.com,,"
                                    Commune el ouricia                                
            ",                    ain arnat                                               ,                    setif                                            
711,Tizi n'bechar,036 71 21 30,036 71 21 27,apc.tnb1938@gmail.com,,"
                                    Cite khaled said                                
            ",                    amoucha                                               ,                    setif                                            
712,Salah bey,036 58 84 48,036 58 82 72,apcsalahbey@gmail.com,,"
                                    RN 28 salah bey                                
            ",                    salah bey                                               ,                    setif                                            
713,Ain azel,036 68 70 04/036 68 70 05,036 68 71 16/036 68 71 18,apcainazel@hotmail.com,,"
                                    Rue Daoud Salah cite hammouda                                
            ",                    ain azel                                               ,                    setif                                            
714,Guenzet,036 80 93 15,036 80 91 98/036 80 92 01,apcguenzet@outlook.fr,,"
                                    GUENZET CENTRE                                
            ",                    guenzet                                               ,                    setif                                            
715,Tala-ifacene,036 78 11 09,036 78 11 02,apctalaifacene@gmail.com,,"
                                    Tizi n’braham                                
            ",                    maoklane                                               ,                    setif                                            
716,Bougaa,036 80 20 52/036 80 20 53,036 80 28 21,apcbougaa@yahoo.fr,,"
                                    Rue colonel amirouche                                
            ",                    bougaa                                               ,                    setif                                            
717,Beni fouda,036 46 01 83,036 46 01 83,apc.benifouda19@gmail.com,,"
                                    Rue du 1° novembre 1954                                
            ",                    djemila                                               ,                    setif                                            
718,Tachouda,036 46 91 39,036 46 91 40/036 46 91 38,apctcd1945@gmail.com,,"
                                    Tachouda centre                                
            ",                    bir el arch                                               ,                    setif                                            
719,Beni-mouhli,036 40 48 04,036 40 48 04,benimouhli1946@gmail.com,,"
                                    Beni mouhli centre                                
            ",                    beni ourtilane                                               ,                    setif                                            
720,Ouled sabor,036 54 04 02,036 54 04 04/036 54 04 08,apcouledsaber1947@gmail.com,,"
                                    Bir souici                                
            ",                    guidjel                                               ,                    setif                                            
721,Guellal,036 58 92 50/036 58 92 51,036 58 91 34,guellalapc9@gmail.com,www.apc-guellal.com,"
                                    Guellal centre                                
            ",                    ain oulmene                                               ,                    setif                                            
722,Ain-sebt,036 90 61 04,036 90 61 47,apc.ainsebt1949@yahoo.com,,"
                                    Commune de ain sebt                                
            ",                    beni aziz                                               ,                    setif                                            
723,Hammam guergour,036 49 91 20,036 49 91 15/036 49 91 17,apchguergour@gmail.com,,"
                                    Hammam guergour                                
            ",                    hammam guergour                                               ,                    setif                                            
724,Ait naoual mezada,036 78 21 04,036 78 21 27,apc.aitnoualmzada@gmail.com,,"
                                    Mezada centre                                
            ",                    bouandas                                               ,                    setif                                            
725,Kasr el abtal,036 57 27 41,036 57 27 39,apc.ksarelabtal@yahoo.fr,,"
                                    Cite boukthir bachir Rue 05 juillet 1962                                
            ",                    ain oulmene                                               ,                    setif                                            
726,Beni oussine,036 49 51 11/036 49 51 67,036 49 51 67/036 49 52 53,benioussine.apc@gmail.com,,"
                                    Beni oussine centre                                
            ",                    bougaa                                               ,                    setif                                            
727,Ait-tizi,036 78 31 04,036 78 31 99,apcaittizi1945@gmail.com,,"
                                    Village souk elthnine                                
            ",                    bouandas                                               ,                    setif                                            
728,Maouaklane,036 40 74 09,036 40 74 10,communemaoklane@gmail.com,,"
                                    Maoklane centre                                
            ",                    maoklane                                               ,                    setif                                            
729,Guelta zerka,036 46 81 22,036 46 81 20/036 46 81 21,apc56.gueltazerga@gmail.com,,"
                                    Sidi salah                                
            ",                    el eulma                                               ,                    setif                                            
730,Oued el bared,036 90 71 01/036 90 71 07,036 90 71 01/036 90 71 07,apc.ouedelbared@gmail.com,,"
                                    Rue 08 mai 1945                                
            ",                    amoucha                                               ,                    setif                                            
731,Taya,036 77 63 28/03 77 63 30,036 77 64 29,apc.taya1958@gmail.com,,"
                                    Taya centre                                
            ",                    hammam sokhna                                               ,                    setif                                            
732,El-ouldja,036 85 21 18,036 85 21 04,apc.elouldja1959@gmail.com,,"
                                    Rue mahmoud kharfallah                                
            ",                    bir el arch                                               ,                    setif                                            
733,Tella,036 86 01 10,036 86 01 03,apc_tella@yahoo.fr,,"
                                    Tella centre                                
            ",                    hammam sokhna                                               ,                    setif                                            
734,Saida,048 41 32 06/07,048 41 33 01,,,"
                                    commune saida                                 
            ",                    saida                                               ,                    saida                                            
735,Doui thabet,048 30 51 30,048 30 51 30,,,"
                                    commune doui thabet                                 
            ",                    youb                                               ,                    saida                                            
736,Ain el hadjar,048 40 24 11,048 40 22 60,,,"
                                    commune ain el hadjar                                 
            ",                    ain el hadjar                                               ,                    saida                                            
737,Ouled khaled,048 42 10 25    ,048 42 10 24,,,"
                                    commune ouled khaled                                 
            ",                    sidi boubekeur                                               ,                    saida                                            
738,Moulay larbi,048 40 61 51,048 40 61 22,,,"
                                    commune moulay larbi                                  
            ",                    ain el hadjar                                               ,                    saida                                            
739,Youb,048 30 17 98,048 30 10 22,,,"
                                    commune youb                                 
            ",                    youb                                               ,                    saida                                            
740,Hounet,048 32 31 04,048 32 32 93,,,"
                                    commune hounet                                 
            ",                    sidi boubekeur                                               ,                    saida                                            
741,Sidi amar,048 50 90 83,048 50 90 26,,,"
                                    commune sidi amar                                 
            ",                    sidi boubekeur                                               ,                    saida                                            
742,Sidi boubekeur,048 50 40 27,048 50 40 88,,,"
                                    commune sidi boubekeur                                 
            ",                    sidi boubekeur                                               ,                    saida                                            
743,El hassasna,048 51 00 42 ,048 51 01 82,,,"
                                    commune el hassasnas                                
            ",                    el hassasna                                               ,                    saida                                            
744,Maamora,048 33 27 69,048 33 27 69,,,"
                                    commmune maamora                                
            ",                    el hassasna                                               ,                    saida                                            
745,Sidi ahmed,048 40 74 93,048 40 75 40,,,"
                                    commune sidi ahmed                                 
            ",                    ain el hadjar                                               ,                    saida                                            
746,Ain sekhouna,048 49 10 26,048 49 10 26,,,"
                                    commune ain sekhouna                                
            ",                    el hassasna                                               ,                    saida                                            
747,Ouled brahim,048 50 72 54,048 50 71 02,,,"
                                    commune ouled brahim                                
            ",                    ouled brahim                                               ,                    saida                                            
748,Tircine,048 49 50 08,048 49 50 08,,,"
                                    commune tircine                                
            ",                    ouled brahim                                               ,                    saida                                            
749,Ain soltane,048 46 01 32,048 46 01 32,,,"
                                    commune ain soltane                                
            ",                    ouled brahim                                               ,                    saida                                            
750,Skikda,03876.34.36 038.76.34.37 038.76.34.38 038.76.34.39 ,038.76.36.50,apcskikda2101@gmail.com,,"
                                    RUE ZIGHOUD YOUCEF                                 
            ",                    skikda                                               ,                    skikda                                            
751,Ain zouit,038.72.81.00,038.72.81.10,apcainzouit@hotmail.fr,,"
                                    RUE GRINE MOUHAMED AIN ZOUIT                                 
            ",                    el hadaiek                                               ,                    skikda                                            
752,El hadaiek,038.72.91.17 / 038.72.91.12 / 038.72.91.10 / 038.72.91.16 / 038.92.72.04  ,038.72.91.17 038.72.91.13,communedelhadaiek@wilayadeskikda-dz.com,,"
                                    APC ELHADAIEK                                 
            ",                    el hadaiek                                               ,                    skikda                                            
753,Azzaba,038.77.85.24 038.77.84.77,038.77.72.30,,,"
                                    COUR DES MARTYRES AZZABA                                
            ",                    azzaba                                               ,                    skikda                                            
754,Djendel saadi mohamed,038.96.41.05 038.96.41.04 038.96.41.06 ,038.96.41.04  038.96.41.06,,,"
                                    DJENDEL SAADI MOUHAMED                                 
            ",                    azzaba                                               ,                    skikda                                            
755,Ain charchar,038.96.04.06,038.96.02.02,,,"
                                    AIN CHARCHAR                                 
            ",                    azzaba                                               ,                    skikda                                            
756,Bekkouche lakhdar,038.96.35.78 038.96.34.11,038.96.35.78 038.96.34.11,b.lakhdar2107@gmail.com,,"
                                    COMMUNE BEKOUCHE LEKHDAR DAIRA BEN AZZZOUZ W.SKIKDA                                  
            ",                    ben azzouz                                               ,                    skikda                                            
757,Ben azzouz,038.73.01.57/ 038.73.01.56/ 038.73.02.36/ 038.73.05.82/ 038.73.01.20  ,038.73.02.36,communedebenazzouz@wilayadeskikda-dz.com,,"
                                    BEN AZZOUZ CENTRE                                 
            ",                    ben azzouz                                               ,                    skikda                                            
758,Es sebt,038.95.26.89,038.95.24.01,communedessebt@wilayadeskikda-dz.com,,"
                                    RUE LAADAISIA KHMISE ESSEBT CENTRE                                 
            ",                    azzaba                                               ,                    skikda                                            
759,Collo,038.90.91.89 038.90.91.87,038.90.91.96,,,"
                                    RUE DIDOUCHE MOURAD                                 
            ",                    collo                                               ,                    skikda                                            
760,Beni zid,038.91.51.24,038.91.51.49,,,"
                                    RUE ALI BAIKER LOULOUDJ                                  
            ",                    collo                                               ,                    skikda                                            
761,Kerkara,038.91.41.78,038.91.41.78,kerkera2112@gmail.com,,"
                                    RUE 1NOVEMBRE 1954                                
            ",                    tamalous                                               ,                    skikda                                            
762,Ouled attia,038.90.03.80,038.90.03.81,www.communedouledatia@wilayadeskikda-dz.com,,"
                                    COMMUNE OULED ATTIA BOUNGHRA CENTRE                                 
            ",                    ouled attia                                               ,                    skikda                                            
763,Oued zhour,038.91.62.45,038.91.61.07,communeouedzhor@wilayadeskikda.com,,"
                                    BEN BOULAID OUED ZHOUR                                 
            ",                    ouled attia                                               ,                    skikda                                            
764,Zitouna,038.94.72.38,038.94.74.85,communezitouna2017@gmail.com,,"
                                    ZITOUNA CENTRE                                 
            ",                    zitouna                                               ,                    skikda                                            
765,El arrouch,038.97.00.08 038.79.00.26 038.98.01.63 ,P/APC:038.79.33.00 038.79.02.03 SG: 038.79.49.32,apcelharrouch@gmail.com,,"
                                    RUE BACHIR BOUKADOUM                                 
            ",                    el harrouch                                               ,                    skikda                                            
766,Zerdezas,038.98.61.25,038.98.61.25,,,"
                                    RUE NOUIOUIAT CHOUITAR ZIDEN                                 
            ",                    el harrouch                                               ,                    skikda                                            
767,Ouled habbaba,038.78.81.04,038.78.82.60,ouledhbaba@gmail.com,,"
                                    OULED HEBABA HARROUCHE                                 
            ",                    el harrouch                                               ,                    skikda                                            
768,Sidi mezghiche,038.98.72.76,038.98.82.06,apc.sidi.mezghiche2119@gmail.com     communedesidimezghiche@wilayadeskikda-dz.com,,"
                                    RUE 20AOUT1955                                
            ",                    sidi mezghiche                                               ,                    skikda                                            
769,Emjez edchich,038.97.73.01,03897.73.01,communedemezedjedchich@wilayadeskikda-dz.com,,"
                                    RUE DEBOUZ AHCENE                                
            ",                    el harrouch                                               ,                    skikda                                            
770,Beni oulbane,038.97.05.62 038.97.01.46,038.97.05.62 038.97.02.05,communedebenioualbane@wilayadeskikda-dz.com,,"
                                    RUE 20AOUT1955                                
            ",                    sidi mezghiche                                               ,                    skikda                                            
771,Ain bouziane,038.98.22.04,038.98.21.15 038.98.25.47 ,communedainbouziane@wilayadeskikda-dz.com       cainbouziane@gmail.com,,"
                                    AIN BOUZIANE                                 
            ",                    sidi mezghiche                                               ,                    skikda                                            
772,Ramdane djamel,038.94.13.87 038.94.14.25 038.94.16.04,038 94 10 23,communnederamdanedjamel@willayadeskika-dz.com,,"
                                    APC RAMDANE DJAMEL                                 
            ",                    ramdane djamel                                               ,                    skikda                                            
773,Beni bechir,038 73 61 83,038 73 61 82,communnedebenibechir@willayadeskika-dz.com,,"
                                    APC BENI BECHIR                                 
            ",                    ramdane djamel                                               ,                    skikda                                            
774,Salah bouchaour,038.97.45.50,038.97.45.50,,,"
                                    SALAH BOUCHAOUR                                 
            ",                    el harrouch                                               ,                    skikda                                            
775,Tamalous,038.73.76.27,038.73.76.27,commune-tamalous@yahoo.fr,,"
                                    TAMALOUS CENTRE                                 
            ",                    tamalous                                               ,                    skikda                                            
776,Ain kechra,038.73.31.50/ 038.73.31.51/ 038.73.33.20 ,038.73.39.20 038.73.39.21,apc.ainkachera@yahoo.com,,"
                                    AIN KECHRA CENTRE                                 
            ",                    ain kechra                                               ,                    skikda                                            
777,Oum toub,038.71.10.70/ 038.71.10.10/ 038.71.10.17/ 038.71.10.60  ,038.71.10.70 038.71.10.60  ,apcoumtoub28@gmail.com,,"
                                    BOULVARD MESSAOUD BOUDJARIOU                                 
            ",                    oum toub                                               ,                    skikda                                            
778,Bin el ouiden,038.98.30.48,038.98.30.51,communedebinelouiden@gmail.com,,"
                                    BIN ELOUIDENE CENTRE                                 
            ",                    tamalous                                               ,                    skikda                                            
779,Filfila,038.94.45.81,038.94.46.02,apcfilfila@gmail.com,,"
                                    APC FILFILA CENTRE                                
            ",                    skikda                                               ,                    skikda                                            
780,Cheraia,038.90.21.26,038.90.21.75,apc.cheraia@yahoo.fr,,"
                                    CITE SAID BYOUD                                 
            ",                    collo                                               ,                    skikda                                            
781,Kanoua,038.91.31.06 038.91.31.51,038.91.31.06 038.91.31.51,apckanoua213@gmail.com,,"
                                    APC KANOUA DAIRA ZITOUNA                                 
            ",                    zitouna                                               ,                    skikda                                            
782,El ghedir,038.98.92.04 038.98.91.04 038.98.92.12 038.98.91.23 ,038.98.91.04,communedelaghdir@wilayadeskikda-dz.com,,"
                                    RUE 1NOVEMBRE1954 LAGHDIR                                 
            ",                    azzaba                                               ,                    skikda                                            
783,Bouchetata,038.73.41.42,038.73.41.08 ,communedebouchetata@wilayadeskikda-dz.com,,"
                                    COMMUNE BOUCHETATA                                
            ",                    el hadaiek                                               ,                    skikda                                            
784,Ouldja boulbalout,038.91.91.03 038.91.91.02 038.91.91.65 ,038.91.91.03  038.91.91.65 ,ouldjaboulbalout@gmail.com,,"
                                    CUMMUNE OULDJA BOULBALOUT CODE POSTAL N°21059                                
            ",                    ain kechra                                               ,                    skikda                                            
785,Khenag maoune,038.91.81.07  038.91.81.08 038.91.81.09 ,038.91.91.08 038.91.81.09,inf2036@gmail.com,,"
                                    KHENAK MAYOUNE CENTRE                                 
            ",                    ouled attia                                               ,                    skikda                                            
786,Hammadi krouma,038.93.56.80,038.93.53.25,apchamadikrouma@gmail.com,,"
                                    APC HAMADI KROUMA                                 
            ",                    skikda                                               ,                    skikda                                            
787,El marsa,038.97.21.20 038.97.22.55,038.97.22.55,www.elmarsa@yahoo.com,,"
                                    COMMUNE ELMARSA DAIRA BEN AZZOUZ                                  
            ",                    ben azzouz                                               ,                    skikda                                            
788,Sidi bel-abbes,048 74 13 39 - 048 74 25 60,048 74 28 78,mhamedbouaricha@gmail.com,,"
                                    BOULEVARD DE LA REPUBLIQUE                                
            ",                    sidi bel abbes                                               ,                    sidi bel-abbes                                            
789,Tessala,048 68 93 69,048 68 91 60,,,"
                                    RUE LIEUTENANT ABDELKRIM                                
            ",                    tessala                                               ,                    sidi bel-abbes                                            
790,Sidi brahim,048 68 34 37- 048 68 34 38,048 68 34 39,,,"
                                    RUE EMIR ABDELAKDER                                
            ",                    ain el berd                                               ,                    sidi bel-abbes                                            
791,Mostefa  ben brahim,048 71 61 11,048 71 61 14,,,"
                                    RUE FARCH YOUB                                
            ",                    mostefa  ben brahim                                               ,                    sidi bel-abbes                                            
792,Telagh,048 78 74 98- 048 78 74 27,048 78 78 68-048 78 79 67,telagh-le@hotmail.com,,"
                                    RUE MOHAMED KHEMISTI                                 
            ",                    telagh                                               ,                    sidi bel-abbes                                            
793,Mezaourou,048 67 81 05,048 67 84 78,,,"
                                    RUE MOHAMED KHEMISTI                                 
            ",                    telagh                                               ,                    sidi bel-abbes                                            
794,Boukhanefis,048 70 82 60,048 70 80 48,,,"
                                    RUE ZOUAOUI BELHADJ                                
            ",                    sidi ali ben youb                                               ,                    sidi bel-abbes                                            
795,Sidi ali boussidi,048 53 31 24,048 53 31 01,,,"
                                    RUE MESTARI KOUIDER                                
            ",                    sidi ali boussidi                                               ,                    sidi bel-abbes                                            
796,Bedrabine el mokrani,048 73 01 21,048 73 05 86,apcelmokrani@gmail.com,,"
                                    N° 52 RUE EL AMIR ABDEKADER                                
            ",                    ben badis                                               ,                    sidi bel-abbes                                            
797,Marhoum,048 67 31 25,048 67 33 24,,,"
                                    RUE MOHAMMED BOUDIAF                                
            ",                    marhoum                                               ,                    sidi bel-abbes                                            
798,Tefessour,048 63 61 01,048 63 61 79,communedetefessour@gmail.com,,"
                                    RUE BOUCIF BENAOUMEUR                                
            ",                    merine                                               ,                    sidi bel-abbes                                            
799,Amarnas,040 41 02 91 ,048 71 00 24,,,"
                                    APC AMARNAS                                
            ",                    sidi lahcene                                               ,                    sidi bel-abbes                                            
800,Tilmouni,048 68 62 71,048 68 62 71,,,"
                                    PLACE ELMITHAK                                
            ",                    mostefa  ben brahim                                               ,                    sidi bel-abbes                                            
801,Sidi lahcene,048 70 74 19 ,048 70 74 30 ,,,"
                                    RUE NACER ABDELKADER                                
            ",                    sidi lahcene                                               ,                    sidi bel-abbes                                            
802,Ain thrid,048 68 20 27,048 68 20 30,,,"
                                    RUE SI FAYCAL                                
            ",                    tessala                                               ,                    sidi bel-abbes                                            
803,Makedra,048 68 01 56,048 68 01 05,,,"
                                    RUE MAAROUF MAAZOUZ                                
            ",                    ain el berd                                               ,                    sidi bel-abbes                                            
804,Tenira,048 71 21 86,048 71 21 87,,,"
                                    N° 86 RUE TOUMI LAKHDAR                                
            ",                    tenira                                               ,                    sidi bel-abbes                                            
805,Moulay slissen,048 78 43 10- 048 78 44 43,048 78 43 10,,,"
                                    RUE BEDAHOU AMARA                                
            ",                    moulay slissen                                               ,                    sidi bel-abbes                                            
806,El hacaiba,048 78 31 07,048 78 31  07,,,"
                                    RUE BELAHCEN                                
            ",                    moulay slissen                                               ,                    sidi bel-abbes                                            
807,Hassi zahana,048 73 83 00,048 73 80 80,baladia222@gmail.com,,"
                                    RUE KEBIR OTMANE                                
            ",                    ben badis                                               ,                    sidi bel-abbes                                            
808,Tabia,048 73 50 53,048 73 53 56,,,"
                                    RUE ZINE EL  ABIDINE                                
            ",                    sidi ali ben youb                                               ,                    sidi bel-abbes                                            
809,Merine,048 67 12 68,048 67 12 81,communedemerine@gmail.com,,"
                                    N° 16 RUE BENCHRIF MOIKHFI                                
            ",                    merine                                               ,                    sidi bel-abbes                                            
810,Ras el ma,048 78 87 67,048 78 89 05,,,"
                                    RUE FARRADJI ABDELKADER                                
            ",                    ras el ma                                               ,                    sidi bel-abbes                                            
811,Ain tindamine,048 67 51 09,048 67 51 09,,,"
                                    RUE BEDAHOU AMARA                                
            ",                    moulay slissen                                               ,                    sidi bel-abbes                                            
812,Ain kada,048 64 81 67,048 64 81 68,communeainkadda@gmail.com,,"
                                    RUE ZERRAFA AHMED                                
            ",                    sidi ali boussidi                                               ,                    sidi bel-abbes                                            
813,M'cid,048 79 07 20- 048 79 07 21,048 79 07 20,,,"
                                    RUE AMIROUCHE OKBA                                
            ",                    sfisef                                               ,                    sidi bel-abbes                                            
814,Sidi khaled,048 74 51 84,048 74 51 84,,,"
                                    RUE BELHADJ MOHAMED                                
            ",                    sidi lahcene                                               ,                    sidi bel-abbes                                            
815,Ain el berd,048 66 01 29,048 66 05 49,apc-ain-elberd-2228@hotmail.com,,"
                                    RUE MOHAMED KHEMISTI                                 
            ",                    ain el berd                                               ,                    sidi bel-abbes                                            
816,Sfisef,048 79 50 25- 048 79 50 26,048 79 50 20-048 79 50 21,,,"
                                    RUE LARBI BEN MHIDI                                
            ",                    sfisef                                               ,                    sidi bel-abbes                                            
817,Ain- adden,048 60 51 02,048 60 51 15,,,"
                                    MACTAA  DAR SEBAA                                
            ",                    sfisef                                               ,                    sidi bel-abbes                                            
818,Oued taourira,048 63 91 02,048 63 91 01,apctaourira@gmail.com,,"
                                    N° 02 RUE DJEMAMAA ABDELKADER                                
            ",                    merine                                               ,                    sidi bel-abbes                                            
819,Dhaya,048 68 96 10,048 68 96 11,,,"
                                    RUE EMIR ABDELKADER                                
            ",                    telagh                                               ,                    sidi bel-abbes                                            
820,Zerouala,048 68 81 91-048 68 82 00,048 68 81 91,zerouala.2233@hotmail.com,,"
                                    RUE 1ER NOVEMBRE                                
            ",                    mostefa  ben brahim                                               ,                    sidi bel-abbes                                            
821,Lamtar,048 73  45 97,048 73 41 86,,,"
                                    RUE SEHLI YOUCEF                                
            ",                    sidi ali boussidi                                               ,                    sidi bel-abbes                                            
822,Sidi chaib,048 67 40 08,048 67 40 09,,,"
                                    RUE MESSAOUDI MILOUD                                
            ",                    marhoum                                               ,                    sidi bel-abbes                                            
823,Sidi dahou zairs,048 64 32 23,048 64 31 05,,,"
                                    RUE BELHOUCINE MUSTAPHA                                
            ",                    sidi ali boussidi                                               ,                    sidi bel-abbes                                            
824,Oued sebaa,048 67 72 23,048 67 71 05,,,"
                                    RUE SKOUDARLI KOUIDER                                
            ",                    ras el ma                                               ,                    sidi bel-abbes                                            
825,Boudjebaa el bordj,048 63 31 05,048 63 31 22,,,"
                                    RUE LOUISSI AHMED                                
            ",                    sfisef                                               ,                    sidi bel-abbes                                            
826,Sehala thaoura,048 68 21 94,048 68 21 94,,,"
                                    RUE CHENNAH BEN ATTOU                                
            ",                    tessala                                               ,                    sidi bel-abbes                                            
827,Sidi yacoub,048 61 51 86,048 61 51 84,,,"
                                    RUE SI ABDELATIFE                                
            ",                    sidi lahcene                                               ,                    sidi bel-abbes                                            
828,Sidi hamadouche,048 71 31 72,048 71 31 72,,,"
                                    RUE DE LA MOSQUEE                                
            ",                    ain el berd                                               ,                    sidi bel-abbes                                            
829,Belarbi,048 79 72 82,048 79 72 80,,,"
                                    RUE DES FRERES BRAHIMI                                 
            ",                    mostefa  ben brahim                                               ,                    sidi bel-abbes                                            
830,Oued sefioun,048 79 61 55,048 79 61 55,,,"
                                    N° 24 RUE MENHOUM EL HADJ                                
            ",                    tenira                                               ,                    sidi bel-abbes                                            
831,Teghalimet,048 67 41 48,048 67 41 48,,,"
                                    RUE ZIADI AHMED                                
            ",                    telagh                                               ,                    sidi bel-abbes                                            
832,Ben badis,048 73 61 10- 048 73 63 02,048 73 63 02,apcbenbadis02245@hotamail.com,,"
                                    RUE BENDAHOU AMARA                                
            ",                    ben badis                                               ,                    sidi bel-abbes                                            
833,Sidi ali benyoub,048 73 11 34,048 73 12 62,,,"
                                    RUE DAHMANE MOHAMED                                
            ",                    sidi ali ben youb                                               ,                    sidi bel-abbes                                            
834,Chetouane belaila,048 73 71 72,048 73 72 76,apc.chetouan.2247@gmail.com,,"
                                    RUE MORSLI ABDELLAH                                
            ",                    ben badis                                               ,                    sidi bel-abbes                                            
835,Bir el hammam,048 67 18 01 ,048 67 10 93,,,"
                                    RUE CHOHADA                                
            ",                    marhoum                                               ,                    sidi bel-abbes                                            
836,Taoudmout,048 58 01 03,048 58 01 03,communedetaoudmout@gmail.com,,"
                                    N° 01 L'ARMEE DE LIBERATION                                
            ",                    merine                                               ,                    sidi bel-abbes                                            
837,Redjem demouche,048 67 79 02,048 67 70 95,kouidermamouni77@gamil.com,,"
                                    RUE ZAIDI ALI                                
            ",                    ras el ma                                               ,                    sidi bel-abbes                                            
838,Benachiba chelia,048 79 91 41 ,048 79 91 91,,,"
                                    N° 01 RUE ORFI ABDELMOULA                                
            ",                    tenira                                               ,                    sidi bel-abbes                                            
